Date,Open,High,Low,Close,Adj Close,Volume
2020-07-07,315.380005,317.519989,313.369995,313.779999,296.759521,82910000
2020-07-08,314.609985,316.299988,312.700012,316.179993,299.029327,54638600
2020-07-09,316.839996,317.100006,310.679993,314.380005,297.327026,83354200
2020-07-10,314.309998,317.880005,312.760010,317.589996,300.362854,57550400
2020-07-13,320.130005,322.709991,314.130005,314.839996,297.761993,102997500
2020-07-14,313.299988,319.760010,312.000000,318.920013,301.620728,93657000
2020-07-15,322.410004,323.040009,319.269989,321.850006,304.391754,87196500
2020-07-16,319.790009,321.279999,319.089996,320.790009,303.389221,54622500
2020-07-17,321.880005,322.570007,319.739990,321.720001,304.268860,62774900
2020-07-20,321.429993,325.130005,320.619995,324.320007,306.727814,56308800
2020-07-21,326.450012,326.929993,323.940002,325.010010,307.380371,57292200
2020-07-22,324.619995,327.200012,324.500000,326.859985,309.130005,57792900
2020-07-23,326.470001,327.230011,321.480011,322.959991,305.441559,75738000
2020-07-24,320.950012,321.989990,319.250000,320.880005,303.474426,73766600
2020-07-27,321.630005,323.410004,320.769989,323.220001,305.687408,48293000
2020-07-28,322.429993,323.640015,320.850006,321.170013,303.748657,57495000
2020-07-29,322.119995,325.730011,322.079987,325.119995,307.484406,48454200
2020-07-30,321.899994,324.410004,319.640015,323.959991,306.387360,61861700
2020-07-31,325.899994,326.630005,321.329987,326.519989,308.808472,84986800
2020-08-03,328.320007,329.619995,327.730011,328.790009,310.955322,53077900
2020-08-04,327.859985,330.059998,327.859985,330.059998,312.156464,41917900
2020-08-05,331.470001,332.390015,331.179993,332.109985,314.095184,42697700
2020-08-06,331.480011,334.459991,331.130005,334.329987,316.194824,43679400
2020-08-07,333.279999,334.880005,332.299988,334.570007,316.421814,57308300
2020-08-10,335.059998,335.769989,332.959991,335.570007,317.367584,44282100
2020-08-11,336.850006,337.540009,332.010010,332.799988,314.747742,69601100
2020-08-12,335.440002,338.279999,335.410004,337.440002,319.136078,53774400
2020-08-13,336.609985,338.250000,335.829987,336.829987,318.559204,41816100
2020-08-14,336.410004,337.420013,335.619995,336.839996,318.568634,47260400
2020-08-17,337.940002,338.339996,336.850006,337.910004,319.580566,35481000
2020-08-18,338.339996,339.100006,336.609985,338.640015,320.270966,38733900
2020-08-19,339.049988,339.609985,336.619995,337.230011,318.937561,68054200
2020-08-20,335.359985,338.799988,335.220001,338.279999,319.930542,42207800
